category,headline,Topic_0,Topic_1,Topic_2,Topic_3,Dominant_Topic,Perc_Dominant_Topic
ENTERTAINMENT,kid bring,0.08342593,0.083421096,0.7497197,0.08343331,Topic 2,0.75
ENTERTAINMENT,take second get really awkward,0.49716672,0.4190776,0.04200949,0.041746195,Topic 0,0.5
ENTERTAINMENT,lose world video rapper team filmmaker video,0.28127092,0.29379246,0.39358088,0.03135574,Topic 2,0.39
POLITICS,ban deceptive ad anti abortion pregnancy clinic,0.032069113,0.031332526,0.28586257,0.6507358,Topic 3,0.65
TECH,former director privacy security,0.050073106,0.050454065,0.8436826,0.055790253,Topic 2,0.84
POLITICS,trounce democratic primary,0.06301928,0.8077375,0.066653244,0.06258999,Topic 1,0.81
POLITICS,powerful teach everywhere,0.062642016,0.06263514,0.812069,0.06265384,Topic 2,0.81
POLITICS,stop state,0.085017756,0.08757839,0.083353154,0.7440507,Topic 3,0.74
POLITICS,loyalist medium able contain sprawl story,0.03579557,0.03592659,0.035796426,0.8924814,Topic 3,0.89
POLITICS,disarm destroy,0.08355911,0.08354812,0.083561584,0.74933124,Topic 3,0.75
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,hit campaign trail dem,0.05360013,0.050657213,0.050091848,0.84565085,Topic 3,0.85
POLITICS,threat time bomb,0.5521771,0.06477541,0.06262885,0.3204187,Topic 0,0.55
POLITICS,approval rating hit second term high,0.036918975,0.7554203,0.036449485,0.17121124,Topic 1,0.76
ENTERTAINMENT,scandal get cynical american politic check family,0.9011281,0.035409514,0.031583108,0.031879257,Topic 0,0.9
POLITICS,still exceptional,0.08490347,0.08519473,0.74642736,0.08347443,Topic 2,0.75
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,say,0.12500557,0.12503606,0.12993196,0.6200264,Topic 3,0.62
POLITICS,water crisis union step trump failing,0.04061836,0.035875976,0.035826705,0.887679,Topic 3,0.89
POLITICS,sicken say tolerate,0.0626194,0.06262351,0.808286,0.066471055,Topic 2,0.81
POLITICS,call racist spark feud ahead big election,0.9018868,0.03202989,0.03353207,0.032551214,Topic 0,0.9
POLITICS,woman would philadelphia new mayor,0.042061165,0.2428801,0.6724567,0.042602036,Topic 2,0.67
POLITICS,pitch complex investment program,0.05073201,0.05010472,0.84836245,0.05080079,Topic 2,0.85
POLITICS,trump reassure donor try,0.83804363,0.058361553,0.05063898,0.05295579,Topic 0,0.84
POLITICS,teacher protest office,0.06260012,0.06393529,0.81085616,0.062608436,Topic 2,0.81
ENTERTAINMENT,name accord rowling,0.81206745,0.06263514,0.062643565,0.06265385,Topic 0,0.81
ENTERTAINMENT,need difficult man make great tv,0.035816565,0.03767415,0.8907595,0.035749786,Topic 2,0.89
TECH,secure fourth grader hint,0.05010221,0.05009728,0.050103318,0.84969723,Topic 3,0.85
POLITICS,supporter sue registration extend election day,0.16531765,0.03578083,0.036093924,0.7628076,Topic 3,0.76
ENTERTAINMENT,open impregnate mystery woman,0.050072685,0.051276255,0.84853905,0.050112005,Topic 2,0.85
POLITICS,decade ago explain trump still know economy,0.032959174,0.9025213,0.03220728,0.032312218,Topic 1,0.9
POLITICS,flood donation,0.083514616,0.08350586,0.083516575,0.74946296,Topic 3,0.75
ENTERTAINMENT,bowery ballroom,0.08354288,0.7493512,0.08354484,0.083561026,Topic 1,0.75
POLITICS,appeal court rule trump third travel ban violate federal law,0.6518148,0.02359085,0.022783803,0.30181056,Topic 0,0.65
POLITICS,federal appeal court give thumb revise law,0.211239,0.031685162,0.031331513,0.7257443,Topic 3,0.73
POLITICS,guilty plea pull vice close spotlight,0.8922893,0.03594524,0.035786424,0.03597907,Topic 0,0.89
ENTERTAINMENT,say want surveillance certain mosque,0.041904707,0.042115174,0.04195779,0.87402236,Topic 3,0.87
ENTERTAINMENT,guy dollar listing make movie,0.8568445,0.054997064,0.045091305,0.043067165,Topic 0,0.86
POLITICS,let email go,0.06643324,0.062538065,0.8064433,0.064585395,Topic 2,0.81
POLITICS,libertarian candidate embrace spoiler election,0.87326014,0.043060854,0.04174545,0.04193357,Topic 0,0.87
POLITICS,difference presidential candidate plan attend event,0.042674687,0.88504165,0.03609742,0.036186248,Topic 1,0.89
POLITICS,tricky position health care repeal head,0.89010096,0.035761263,0.03805507,0.036082704,Topic 0,0.89
ENTERTAINMENT,announce birth daughter,0.06260628,0.81217176,0.06260713,0.062614866,Topic 1,0.81
POLITICS,country full humor,0.06262133,0.81212455,0.06262267,0.06263143,Topic 1,0.81
POLITICS,democratic primary,0.084288396,0.7385299,0.09380285,0.08337883,Topic 1,0.74
ENTERTAINMENT,give inspiring speech kid choice award,0.15425038,0.035770137,0.77416295,0.035816535,Topic 2,0.77
POLITICS,calm race,0.7496056,0.08345593,0.08346493,0.0834735,Topic 0,0.75
ENTERTAINMENT,real,0.12504157,0.6248705,0.125042,0.12504596,Topic 1,0.62
ENTERTAINMENT,company may sell firm lead close friend,0.032855976,0.9042339,0.031296585,0.031613573,Topic 1,0.9
POLITICS,moderate try seize party crummy moment,0.0364477,0.035900388,0.890076,0.037575893,Topic 2,0.89
ENTERTAINMENT,season episode make friend podcast,0.042010795,0.87431073,0.04197973,0.041698713,Topic 1,0.87
POLITICS,fight wallet,0.08420343,0.39663517,0.43552643,0.08363496,Topic 2,0.44
TECH,spotify bumble finally let judge potential date base music taste,0.022907572,0.02337236,0.92903566,0.024684392,Topic 2,0.93
ENTERTAINMENT,robert former door guitarist die,0.04175322,0.8649026,0.042841375,0.05050278,Topic 1,0.86
ENTERTAINMENT,new ghostbuster go drive,0.054769527,0.051967315,0.32646692,0.5667962,Topic 3,0.57
POLITICS,almost strangle plan cradle,0.11074382,0.050651453,0.05836689,0.78023785,Topic 3,0.78
POLITICS,war must first understand origin,0.042149533,0.04269163,0.87286985,0.042288933,Topic 2,0.87
POLITICS,loser hurt,0.08371321,0.42160428,0.4110564,0.0836261,Topic 1,0.42
POLITICS,create,0.6239935,0.12531403,0.12533431,0.12535818,Topic 0,0.62
POLITICS,prediction economic prediction suck,0.05007871,0.050074928,0.8497611,0.050085224,Topic 2,0.85
POLITICS,federal strike map,0.062973045,0.062592685,0.06259809,0.8118362,Topic 3,0.81
POLITICS,investigation focus paddock finance travel source,0.036528654,0.89186734,0.035798214,0.03580581,Topic 1,0.89
POLITICS,protester fight restrict free speech convention,0.035880968,0.036219086,0.38044444,0.5474555,Topic 3,0.55
POLITICS,consumer privacy move conversation forward,0.0417382,0.041863196,0.8746547,0.04174395,Topic 2,0.87
POLITICS,morning attack female accuser fellow electoral integrity,0.033080325,0.03153414,0.031300854,0.9040847,Topic 3,0.9
POLITICS,weak pay transparency executive order,0.041739378,0.04325221,0.8709488,0.044059575,Topic 2,0.87
ENTERTAINMENT,stine monster come life goosebump trailer,0.036381222,0.03603001,0.8904115,0.037177294,Topic 2,0.89
POLITICS,trump approval rating tick slightly record low,0.03262676,0.90348417,0.031551637,0.032337405,Topic 1,0.9
POLITICS,rise super pac set avoid brutal primary season,0.9131675,0.029236209,0.029768644,0.027827717,Topic 0,0.91
ENTERTAINMENT,back,0.62362707,0.12627704,0.1250463,0.12504962,Topic 0,0.62
POLITICS,gun control,0.083387166,0.7498327,0.08338776,0.083392404,Topic 1,0.75
POLITICS,cheer move progressive direction,0.050120328,0.49448922,0.40526018,0.050130337,Topic 1,0.49
POLITICS,accept firm tie russian oligarch report,0.89231676,0.036124323,0.035776746,0.035782196,Topic 0,0.89
POLITICS,think government abuse power,0.844423,0.05012374,0.054579582,0.050873652,Topic 0,0.84
POLITICS,war weird rant,0.06274637,0.16938601,0.06793516,0.69993246,Topic 3,0.7
POLITICS,climate sup want choose candidate back,0.04134944,0.885696,0.035912905,0.037041668,Topic 1,0.89
ENTERTAINMENT,show bit,0.083433315,0.08342941,0.0834353,0.7497019,Topic 3,0.75
POLITICS,long tease buzz,0.062640324,0.06263353,0.8120741,0.062652014,Topic 2,0.81
POLITICS,code pink aim rally public airstrike,0.036069565,0.88813347,0.04001889,0.03577814,Topic 1,0.89
POLITICS,say russian attack election day,0.4812207,0.041698877,0.042243652,0.4348368,Topic 0,0.48
ENTERTAINMENT,great grandmother emotional,0.06259812,0.06259318,0.81220216,0.062606566,Topic 2,0.81
POLITICS,think tough trump ready resume waterboarding,0.03703095,0.035875738,0.0374113,0.889682,Topic 3,0.89
ENTERTAINMENT,revival would amazing,0.062602594,0.6221754,0.25199685,0.06322516,Topic 1,0.62
POLITICS,call great global revolution,0.050187107,0.0502551,0.8494913,0.05006648,Topic 2,0.85
POLITICS,reportedly tell consider reduce troop,0.04173171,0.041728333,0.87480265,0.04173733,Topic 2,0.87
POLITICS,sander remain competitive post debate poll,0.03576429,0.03612854,0.036023222,0.89208394,Topic 3,0.89
ENTERTAINMENT,rise fearful breast reduction surgery,0.04309565,0.8733674,0.041764963,0.04177197,Topic 1,0.87
POLITICS,dear really want cancer drug super expensive,0.90466076,0.031894002,0.031289045,0.032156214,Topic 0,0.9
POLITICS,gutte rule fight nation second big toxic pollution threat,0.9208751,0.02651347,0.027571471,0.025040003,Topic 0,0.92
POLITICS,say force police provide shoot datum,0.036360454,0.035743568,0.035911087,0.8919849,Topic 3,0.89
ENTERTAINMENT,show hide talent,0.06259101,0.06258714,0.06360605,0.8112158,Topic 3,0.81
POLITICS,child deserve fair chance,0.05009783,0.84727097,0.05252587,0.050105385,Topic 1,0.85
ENTERTAINMENT,make forget lyric enjoyable,0.050223473,0.051773466,0.8479229,0.050080128,Topic 2,0.85
POLITICS,know yet soda taxis make healthy,0.03585848,0.6067696,0.31760883,0.039763056,Topic 1,0.61
ENTERTAINMENT,launch tour next summer,0.05086858,0.056464594,0.051222105,0.84144473,Topic 3,0.84
ENTERTAINMENT,may get prince music,0.84763217,0.051454075,0.05086011,0.05005363,Topic 0,0.85
ENTERTAINMENT,say war bring together,0.050079674,0.05131745,0.84623545,0.052367426,Topic 2,0.85
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
TECH,shopping site offer model delivery service,0.03610315,0.8922954,0.035797738,0.035803672,Topic 1,0.89
POLITICS,government lease,0.39970952,0.42921415,0.087484725,0.083591625,Topic 1,0.43
POLITICS,keep demand trump taxis,0.051786285,0.05046998,0.050169732,0.847574,Topic 3,0.85
POLITICS,immigrant detainee may die inadequate care doctor say,0.028334863,0.691986,0.24876714,0.030911928,Topic 1,0.69
ENTERTAINMENT,new,0.12502542,0.13306129,0.6167089,0.1252044,Topic 2,0.62
ENTERTAINMENT,irrational director speak existence,0.050088905,0.050084464,0.051638905,0.8481877,Topic 3,0.85
POLITICS,trump sign first executive order obamacare,0.34612787,0.03810716,0.5755067,0.04025827,Topic 2,0.58
POLITICS,need information condemn paper deny,0.04188006,0.87433344,0.04191964,0.041866876,Topic 1,0.87
POLITICS,trump miss deadline remove nationalist delegate list,0.036380816,0.89979565,0.03147961,0.032343946,Topic 1,0.9
POLITICS,progressive meet secretly iranian diplomat,0.04176544,0.041727584,0.87477696,0.041729998,Topic 2,0.87
TECH,subscription fee,0.08351539,0.08350622,0.08351659,0.74946177,Topic 3,0.75
POLITICS,blame economy,0.08348131,0.74691445,0.08611057,0.08349367,Topic 1,0.75
POLITICS,danger new world order,0.05003695,0.4543322,0.44370002,0.05193084,Topic 1,0.45
POLITICS,authorization use military force isis broad,0.035935696,0.03578815,0.037518438,0.8907577,Topic 3,0.89
ENTERTAINMENT,high pay tv actress,0.050722733,0.05030646,0.8323494,0.06662138,Topic 2,0.83
TECH,good grief,0.08344975,0.08343728,0.749661,0.083451875,Topic 2,0.75
POLITICS,give hungry student cost lady job,0.45086834,0.47679818,0.03647859,0.03585486,Topic 1,0.48
ENTERTAINMENT,get,0.624924,0.12504609,0.12501499,0.1250149,Topic 0,0.62
POLITICS,reparation,0.12532558,0.12530896,0.6240123,0.12535319,Topic 2,0.62
POLITICS,close vote military people,0.05198977,0.053536035,0.050267115,0.84420705,Topic 3,0.84
TECH,new fellow look scale civic innovation country,0.031306878,0.9053133,0.031740554,0.0316393,Topic 1,0.91
POLITICS,let fail,0.08344198,0.08432207,0.08909214,0.7431438,Topic 3,0.74
POLITICS,new polling find voter call,0.04191145,0.5676403,0.3486864,0.04176187,Topic 1,0.57
POLITICS,even think insurance plan allow count insurance,0.9026321,0.03324456,0.032525547,0.031597774,Topic 0,0.9
POLITICS,farm bill would cut food stamp friendly farmer,0.028079001,0.91618186,0.027883492,0.027855702,Topic 1,0.92
POLITICS,patriotic police brutality injustice,0.84542805,0.050018817,0.05001996,0.054533187,Topic 0,0.85
POLITICS,declare first new marine sanctuary year,0.035724014,0.036200974,0.89234376,0.035731275,Topic 2,0.89
POLITICS,gun craze nation,0.062719315,0.8122419,0.06251856,0.062520236,Topic 1,0.81
POLITICS,dear campaign somehow still,0.8468236,0.051004637,0.051920958,0.05025082,Topic 0,0.85
POLITICS,yet,0.1250239,0.6199523,0.12502578,0.12999801,Topic 1,0.62
POLITICS,say fight equal pay child care say,0.03136898,0.03136731,0.90452474,0.032738946,Topic 2,0.9
ENTERTAINMENT,seek justice dog shoot dead update,0.89219123,0.03572553,0.035726033,0.036357217,Topic 0,0.89
POLITICS,condemn order target muslim chaotic weekend,0.03573066,0.8921451,0.03586685,0.036257394,Topic 1,0.89
ENTERTAINMENT,lock run fall,0.8124543,0.06251419,0.06251549,0.06251607,Topic 0,0.81
POLITICS,voter prove depressingly right,0.050120547,0.050239865,0.8495914,0.05004822,Topic 2,0.85
POLITICS,fix gas tax explore mile taxis,0.036068294,0.035811912,0.03607444,0.8920453,Topic 3,0.89
POLITICS,dangerous salesman world,0.0625242,0.8122624,0.06269,0.062523395,Topic 1,0.81
POLITICS,nominee still think,0.06361192,0.06333608,0.8101567,0.0628953,Topic 2,0.81
POLITICS,congressional rule change could slash entitlement spending,0.9056011,0.03145796,0.031679787,0.031261172,Topic 0,0.91
ENTERTAINMENT,announce huge news,0.062522925,0.8124292,0.06252312,0.062524766,Topic 1,0.81
ENTERTAINMENT,plot twist night shyamalan probably want stop plot twist,0.025084805,0.025286857,0.025026014,0.9246024,Topic 3,0.92
ENTERTAINMENT,deny role,0.08336618,0.74902284,0.083367065,0.08424388,Topic 1,0.75
ENTERTAINMENT,stir tweet collab pretty girl,0.041682433,0.8745487,0.04208538,0.041683525,Topic 1,0.87
POLITICS,release tax return go back,0.87229604,0.041744493,0.043503083,0.042456336,Topic 0,0.87
POLITICS,could government lose tax theft,0.044124927,0.042476982,0.8711329,0.042265207,Topic 2,0.87
TECH,date video ipad mini week apple rumor,0.031260405,0.031257406,0.90622383,0.031258356,Topic 2,0.91
POLITICS,non response shooting,0.06252193,0.062524505,0.06252191,0.81243163,Topic 3,0.81
POLITICS,high time,0.08361872,0.08347857,0.083713055,0.7491896,Topic 3,0.75
POLITICS,class war,0.08343949,0.7473355,0.085434005,0.08379101,Topic 1,0.75
POLITICS,bear,0.1250526,0.12505004,0.12505318,0.6248442,Topic 3,0.62
ENTERTAINMENT,hilarious dance,0.74992234,0.0833576,0.08335911,0.08336095,Topic 0,0.75
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,minimum wage worker vote,0.05001458,0.8496236,0.05002692,0.05033484,Topic 1,0.85
POLITICS,threaten veto budget bill defunde plan parenthood,0.9057153,0.03150367,0.031391148,0.03138989,Topic 0,0.91
POLITICS,win trademark,0.7484584,0.08482302,0.08335839,0.08336017,Topic 0,0.75
POLITICS,lower body index weird trick,0.04168045,0.041680023,0.04168235,0.87495714,Topic 3,0.87
ENTERTAINMENT,remember anniversary death,0.81223524,0.06252509,0.06252172,0.062717974,Topic 0,0.81
ENTERTAINMENT,may dead,0.7440866,0.08920955,0.083352685,0.08335114,Topic 0,0.74
POLITICS,top official stay friend donor,0.041972462,0.8746672,0.04167991,0.041680392,Topic 1,0.87
POLITICS,may want pack state probably,0.042631894,0.8718998,0.041679323,0.043789003,Topic 1,0.87
ENTERTAINMENT,revival release date cast photo,0.042861152,0.041741762,0.8737134,0.041683678,Topic 2,0.87
POLITICS,admit ceos quit trump business council sideshow,0.9056425,0.03157703,0.03129405,0.03148642,Topic 0,0.91
POLITICS,state get decide discriminate lgbtq student,0.8911697,0.036672965,0.035726067,0.036431238,Topic 0,0.89
POLITICS,say ask sander debate sander say,0.035755023,0.036085524,0.036060274,0.89209914,Topic 3,0.89
ENTERTAINMENT,arrive,0.12505262,0.12505001,0.12505318,0.6248442,Topic 3,0.62
POLITICS,say could persuade hold lame duck hearing,0.03146851,0.03138422,0.90523034,0.031916913,Topic 2,0.91
POLITICS,trump raise specter crisis win,0.87399125,0.042069014,0.04174318,0.04219659,Topic 0,0.87
POLITICS,pressure state reverse mandatory order,0.041977804,0.042823687,0.04182318,0.87337536,Topic 3,0.87
ENTERTAINMENT,bunch star wrap ava duvernay wrinkle time,0.03126059,0.031259805,0.03125987,0.9062197,Topic 3,0.91
POLITICS,key line anti abortion speech,0.041679934,0.041679297,0.8749555,0.041685343,Topic 2,0.87
ENTERTAINMENT,parent boycott rabbit movie,0.050417762,0.05001599,0.050017033,0.8495492,Topic 3,0.85
ENTERTAINMENT,boy ridiculously adorable,0.8124239,0.062523775,0.06252526,0.062527046,Topic 0,0.81
ENTERTAINMENT,read celebrity first ridiculous tweet,0.041746736,0.042538635,0.87403375,0.041680906,Topic 2,0.87
POLITICS,care bill kill,0.8029991,0.06358569,0.0699303,0.06348493,Topic 0,0.8
ENTERTAINMENT,list include fall,0.81222486,0.06273393,0.06252053,0.06252067,Topic 0,0.81
ENTERTAINMENT,really female superhero,0.8121442,0.06252009,0.0625211,0.0628146,Topic 0,0.81
POLITICS,state chair oppose bill make easy vote claim hurt,0.02536808,0.92423826,0.025177792,0.025215883,Topic 1,0.92
POLITICS,urge top lawyer strengthen gun background check system,0.027889956,0.916537,0.0277862,0.027786864,Topic 1,0.92
POLITICS,give health benefit government shutdown update,0.89190185,0.03577317,0.036595345,0.03572964,Topic 0,0.89
ENTERTAINMENT,step yet sexy maternity ensemble,0.041680984,0.042961985,0.041681338,0.8736757,Topic 3,0.87
POLITICS,courage,0.1250526,0.12505002,0.12505317,0.6248442,Topic 3,0.62
POLITICS,give run,0.7498303,0.0833537,0.08342105,0.08339496,Topic 0,0.75
POLITICS,almost like new health care bill,0.03743252,0.036896132,0.889874,0.03579734,Topic 2,0.89
ENTERTAINMENT,first,0.12501213,0.1272128,0.6227574,0.1250177,Topic 2,0.62
ENTERTAINMENT,fill,0.62482524,0.12505458,0.12505801,0.12506221,Topic 0,0.62
ENTERTAINMENT,dance beyonce cherry top hump day,0.8916436,0.036852464,0.03572603,0.03577794,Topic 0,0.89
ENTERTAINMENT,know,0.12503175,0.6248982,0.12503548,0.12503456,Topic 1,0.62
POLITICS,police protester potential ally,0.05020653,0.05001341,0.050878774,0.8489012,Topic 3,0.85
ENTERTAINMENT,wait finally happen,0.062527515,0.8120909,0.06285811,0.062523484,Topic 1,0.81
ENTERTAINMENT,comic,0.12504385,0.12505446,0.12504473,0.62485695,Topic 3,0.62
ENTERTAINMENT,newsroom could biggest misstep yet,0.042612024,0.87249833,0.042967923,0.04192173,Topic 1,0.87
ENTERTAINMENT,explain get,0.417084,0.4098137,0.08972871,0.08337354,Topic 0,0.42
ENTERTAINMENT,date already,0.08335269,0.083351105,0.7499427,0.0833535,Topic 2,0.75
POLITICS,explosive shock vote leave quit,0.042484023,0.873872,0.041754205,0.041889794,Topic 1,0.87
ENTERTAINMENT,kiss say,0.08335086,0.0833592,0.08467311,0.7486169,Topic 3,0.75
TECH,gamer save,0.08336978,0.74988717,0.08337019,0.08337282,Topic 1,0.75
POLITICS,miss next democratic debate cnnpolitic com,0.0357266,0.89230394,0.03576569,0.03620373,Topic 1,0.89
ENTERTAINMENT,steal real replace,0.06252364,0.81242675,0.062523894,0.06252573,Topic 1,0.81
POLITICS,discuss great frustration presidency,0.050016474,0.05001568,0.8498914,0.050076447,Topic 2,0.85
POLITICS,end immigration protection,0.81244195,0.06251822,0.06251952,0.062520295,Topic 0,0.81
POLITICS,tell ball,0.08335967,0.083358295,0.7499175,0.083364554,Topic 2,0.75
POLITICS,elector vote conservative dream ticket penny,0.035726566,0.036761552,0.035726633,0.89178526,Topic 3,0.89
ENTERTAINMENT,say cocaine,0.08335085,0.08335919,0.084675215,0.7486147,Topic 3,0.75
POLITICS,respond whcd barb,0.06252159,0.062520556,0.06252183,0.81243604,Topic 3,0.81
POLITICS,police shoot kill farmworker clear wrongdoing,0.03667059,0.035724238,0.035726056,0.89187914,Topic 3,0.89
POLITICS,primary explain use actual horse,0.04175458,0.042689018,0.87373376,0.04182265,Topic 2,0.87
TECH,hacker shake progressive group,0.050016407,0.050795402,0.8491659,0.050022237,Topic 2,0.85
ENTERTAINMENT,mad man return,0.06395924,0.06251973,0.8109986,0.06252243,Topic 2,0.81
ENTERTAINMENT,take cry face whole new level,0.035727046,0.8920275,0.036493864,0.035751585,Topic 1,0.89
TECH,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,first gay couple receive marriage license jail,0.03125973,0.031320192,0.9061594,0.031260666,Topic 2,0.91
POLITICS,expect american taxpayer,0.06347408,0.06252211,0.062523164,0.81148064,Topic 3,0.81
ENTERTAINMENT,beat police say undead singer attack former bandmate,0.027836151,0.027809875,0.027934905,0.91641915,Topic 3,0.92
POLITICS,release hospital fall,0.81006825,0.064223774,0.06318822,0.06251977,Topic 0,0.81
POLITICS,shake top staff,0.0630249,0.81036305,0.064091556,0.06252052,Topic 1,0.81
POLITICS,bad may lose office,0.050643772,0.8471658,0.052174337,0.05001607,Topic 1,0.85
POLITICS,still favorite bank,0.063716516,0.80845815,0.06529861,0.06252674,Topic 1,0.81
POLITICS,open gun law allow firearm psychiatric hospital,0.03155771,0.90542156,0.031488683,0.031532086,Topic 1,0.91
POLITICS,protester rally health care office building,0.036078326,0.036115855,0.8916379,0.03616791,Topic 2,0.89
ENTERTAINMENT,old fashioned manner first meeting,0.041682553,0.8718821,0.044750523,0.04168483,Topic 1,0.87
POLITICS,meet,0.12576488,0.12503238,0.6241659,0.12503688,Topic 2,0.62
ENTERTAINMENT,say,0.12500557,0.12503608,0.12994023,0.6200181,Topic 3,0.62
POLITICS,win applause code pink,0.051889505,0.84807324,0.050017998,0.050019275,Topic 1,0.85
POLITICS,analyst warn majority danger,0.050027397,0.050016608,0.84993744,0.050018564,Topic 2,0.85
